Period,average_unemployment_rate,average_employed,average_labour_participation
2020-01,9.196538461538463,15637199.76923077,44.62653846153846
2020-02,9.266153846153847,15488266.038461538,44.18076923076923
2020-03,10.782592592592593,14538659.888888888,43.74666666666667
2020-04,22.236153846153847,10570199.0,35.29730769230769
2020-05,23.244444444444444,11507394.851851853,39.647777777777776
2020-06,10.911111111111111,13857393.814814815,41.20333333333333
2020-07,9.834444444444443,14418021.481481481,42.27481481481482
2020-08,10.313333333333333,14429042.037037037,42.39074074074074
2020-09,8.705925925925927,14587838.629629629,41.974444444444444
2020-10,8.026296296296296,14579980.518518519,41.438518518518514
