Region,average_unemployment_rate,average_employed,average_labour_participation,observations
Haryana,27.476999999999997,6844059.0,42.1,10
Tripura,25.055,1397291.6,57.848,10
Jharkhand,19.538999999999998,8770642.4,40.356,10
Bihar,19.471,23606828.0,37.173,10
Delhi,18.414,4632821.9,35.857,10
Puducherry,17.942,365262.9,35.918,10
Jammu & Kashmir,16.477777777777778,3310031.6666666665,37.894444444444446,9
Himachal Pradesh,16.065,2033884.9,40.251999999999995,10
Rajasthan,15.868,19731752.2,40.591,10
Tamil Nadu,12.187,21987898.1,37.382999999999996,10
Goa,12.167,442374.8,39.242000000000004,10
Punjab,11.981,8783034.2,39.979,10
Uttarakhand,11.156,2743274.9,35.259,10
West Bengal,10.192,33305164.3,45.158,10
Sikkim,9.7925,234523.25,45.75625,8
Uttar Pradesh,9.737,55524799.0,37.608,10
Kerala,9.434000000000001,8596794.9,33.382,10
Andhra Pradesh,8.664,15425480.0,38.962,10
Maharashtra,7.979000000000001,39204758.2,41.465999999999994,10
Chhattisgarh,7.819,8421349.2,41.161,10
Karnataka,7.667999999999999,21624017.6,42.0,10
Madhya Pradesh,6.854000000000001,22318335.3,38.926,10
Telangana,6.833,16244082.5,54.972,10
Odisha,6.462000000000001,12726832.9,37.748000000000005,10
Gujarat,6.3759999999999994,22730746.1,45.489999999999995,10
Assam,4.856,10810275.5,43.498000000000005,10
Meghalaya,3.8659999999999997,1349815.3,59.859,10
