Feature,Importance
cat__brand_Land,32.65333798933774
num__present_price,6.707965994902648
cat__brand_800,5.027533339462119
cat__brand_Fortuner,4.940343128578918
cat__brand_Corolla,2.564816757054774
cat__brand_Suzuki,2.4386161735533296
cat__brand_I10,2.1358133501502863
cat__brand_Creta,1.9842269729394126
cat__brand_Wagon,1.9145786901276656
cat__brand_Hero,1.823368548730343
cat__brand_Omni,1.7788849011603367
cat__brand_Bajaj,1.5733033356808825
cat__brand_Grand,1.4992255657690134
cat__brand_Brio,1.3866026189295637
cat__brand_Tvs,1.3433620444941612
cat__brand_Royal,1.2785260548613768
cat__brand_Alto,1.2200453982640849
cat__brand_Honda,1.183636738791511
cat__brand_Yamaha,1.0633333998689691
cat__brand_Elantra,0.9158359920122949
num__car_age,0.9002466622471278
cat__brand_Ritz,0.8714230422997298
cat__brand_Ignis,0.8625575637643785
cat__brand_I20,0.8503236939312645
cat__brand_Innova,0.8474408112154859
cat__brand_Dzire,0.7371345104681073
cat__brand_Xcent,0.7346292837401651
cat__brand_Jazz,0.7112184570924022
cat__brand_Swift,0.687542740206146
cat__brand_Verna,0.6653543645008383
cat__fuel_type_Diesel,0.6645144719477425
cat__brand_Ciaz,0.6528515292459263
cat__brand_Eon,0.6423401195010383
cat__brand_Ktm,0.557487950641984
cat__brand_Etios,0.5555082886588824
cat__brand_Amaze,0.5172696210952306
cat__fuel_type_Cng,0.5090068932286542
cat__brand_Um,0.4882232460320902
cat__brand_Baleno,0.43856043034558156
num__kms_driven,0.4154194533271838
cat__brand_Ertiga,0.3776988703398189
cat__brand_Sx4,0.30374339691077784
cat__transmission_Automatic,0.18518449463868614
cat__transmission_Manual,0.18518449463838949
cat__fuel_type_Petrol,0.15550757871904222
cat__brand_City,0.11293775007928161
num__owner,0.08850774801177722
cat__seller_type_Dealer,0.05951230304592479
cat__seller_type_Individual,0.05951230304558062
cat__brand_Activa,0.022640919893829475
